timestamp,currentmode,newdpressevent,newpressevent,newtempevent_1,newtempevent_2,newtempevent_3,servostatusevent,servoventstatusevent
13:13:17.812676,1,0.97,45.68,6.3,5.3,4.6,0,0
13:13:17.917571,1,0.88,45.54,6.3,5.3,4.6,0,0
13:13:18.022619,1,0.93,45.7,6.3,5.3,4.6,0,0
13:13:18.128428,1,0.9,45.59,6.3,5.3,4.6,0,0
13:13:18.233805,1,0.9,45.46,6.3,5.3,4.6,0,0
13:13:18.339468,1,1.04,45.55,6.3,5.3,4.6,0,0
13:13:18.443762,1,0.98,45.65,6.3,5.3,4.6,0,0
13:13:18.548792,1,1.02,45.61,6.3,5.3,4.6,0,0
13:13:18.654515,1,0.92,45.51,6.3,5.3,4.6,0,0
13:13:18.758989,1,0.84,45.6,6.3,5.3,4.6,0,0
13:13:18.863644,1,0.94,45.56,6.3,5.3,4.6,0,0
13:13:18.969349,1,0.96,45.46,6.3,5.3,4.6,0,0
13:13:19.074954,1,0.96,45.58,6.3,5.3,4.6,0,0
13:13:19.179228,1,0.95,45.52,6.3,5.3,4.6,0,0
13:13:19.283822,1,0.88,45.54,6.3,5.3,4.6,0,0
13:13:19.388136,1,0.92,45.58,6.3,5.3,4.6,0,0
13:13:19.493357,1,0.98,45.56,6.3,5.3,4.6,0,0
13:13:19.598374,1,1.08,45.59,6.3,5.3,4.6,0,0
13:13:19.702519,1,0.98,45.47,6.3,5.3,4.6,0,0
13:13:19.808103,1,0.97,45.57,6.3,5.3,4.6,0,0
13:13:19.912527,1,1.06,45.44,6.3,5.3,4.6,0,0
13:13:20.018053,1,1.01,45.66,6.3,5.3,4.6,0,0
13:13:20.123025,1,1.07,45.61,6.3,5.3,4.6,0,0
13:13:20.228471,1,0.9,45.64,6.3,5.3,4.6,0,0
13:13:20.332775,1,0.98,45.4,6.3,5.3,4.6,0,0
13:13:20.437215,1,0.99,45.58,6.3,5.3,4.6,0,0
13:13:20.542184,1,0.86,45.58,6.3,5.3,4.6,0,0
13:13:20.646800,1,1.04,45.65,6.3,5.3,4.6,0,0
13:13:20.752912,1,1.07,45.57,6.3,5.3,4.6,0,0
13:13:20.857169,1,0.96,45.62,6.3,5.3,4.6,0,0
13:13:20.961339,1,1.17,45.67,6.3,5.3,4.6,0,0
13:13:21.066436,1,0.9,45.61,6.3,5.3,4.6,0,0
13:13:21.172044,1,1.06,45.7,6.3,5.3,4.6,0,0
13:13:21.277049,1,0.91,45.65,6.3,5.3,4.6,0,0
13:13:21.381067,1,1.04,45.56,6.3,5.3,4.6,0,0
13:13:21.485825,1,0.94,45.74,6.3,5.3,4.6,0,0
13:13:21.590116,1,0.95,45.66,6.3,5.3,4.6,0,0
13:13:21.695026,1,0.98,45.6,6.3,5.3,4.6,0,0
13:13:21.799682,1,0.94,45.57,6.3,5.3,4.6,0,0
13:13:21.904597,1,1.14,45.57,6.3,5.3,4.6,0,0
13:13:22.009468,1,0.89,45.57,6.3,5.3,4.6,0,0
13:13:22.114744,1,0.98,45.57,6.3,5.3,4.6,0,0
13:13:22.219940,1,1.1,45.64,6.3,5.3,4.6,0,0
13:13:22.324813,1,1.04,45.66,6.3,5.3,4.6,0,0
13:13:22.429619,1,1.0,45.5,6.3,5.3,4.6,0,0
13:13:22.534244,1,0.97,45.5,6.3,5.3,4.6,0,0
13:13:22.639183,1,0.87,45.63,6.3,5.3,4.6,0,0
13:13:22.744145,1,1.04,45.37,6.3,5.3,4.6,0,0
13:13:22.849220,1,0.94,45.64,6.3,5.3,4.6,0,0
13:13:22.953720,1,0.9,45.64,6.3,5.3,4.6,0,0
13:13:23.058237,1,0.79,45.63,6.3,5.3,4.6,0,0
13:13:23.164116,1,1.0,45.66,6.3,5.3,4.6,0,0
13:13:23.269090,1,0.94,45.61,6.3,5.3,4.6,0,0
13:13:23.374598,1,1.02,45.63,6.3,5.3,4.6,0,0
13:13:23.480061,1,0.93,45.68,6.3,5.3,4.6,0,0
13:13:23.585053,1,0.98,45.6,6.3,5.3,4.6,0,0
