ts,id,T,P
6.465,BARO0,48.63,88789
6.475,BARO0,48.63,88834
6.485,BARO0,48.63,88805
6.495,BARO0,48.63,88812
6.505,BARO0,48.64,88828
6.515,BARO0,48.63,88770
6.525,BARO0,48.64,88777
6.535,BARO0,48.64,88822
6.545,BARO0,48.64,88791
6.555,BARO0,48.64,88701
6.565,BARO0,48.65,88769
6.575,BARO0,48.63,88769
6.585,BARO0,48.63,88738
6.595,BARO0,48.63,88738
6.605,BARO0,48.62,88737
6.615,BARO0,48.64,88717
6.625,BARO0,48.64,88710
6.635,BARO0,48.63,88686
6.645,BARO0,48.64,88715
6.655,BARO0,48.63,88688
6.665,BARO0,48.64,88706
6.675,BARO0,48.64,88686
6.685,BARO0,48.63,88651
6.695,BARO0,48.63,88636
6.705,BARO0,48.65,88642
6.715,BARO0,48.62,88651
6.725,BARO0,48.64,88640
6.735,BARO0,48.64,88648
6.745,BARO0,48.64,88633
6.755,BARO0,48.62,88643
6.765,BARO0,48.65,88627
6.775,BARO0,48.65,88621
6.785,BARO0,48.65,88599
6.795,BARO0,48.65,88584
6.805,BARO0,48.65,88583
6.815,BARO0,48.65,88618
6.825,BARO0,48.64,88588
6.835,BARO0,48.63,88559
6.845,BARO0,48.63,88579
6.855,BARO0,48.63,88573
6.865,BARO0,48.64,88559
6.875,BARO0,48.65,88528
6.885,BARO0,48.62,88541
6.895,BARO0,48.64,88547
6.905,BARO0,48.63,88502
6.915,BARO0,48.62,88522
6.925,BARO0,48.64,88502
6.935,BARO0,48.64,88530
6.945,BARO0,48.63,88492
6.955,BARO0,48.63,88472
6.965,BARO0,48.65,88472
6.975,BARO0,48.62,88507
6.985,BARO0,48.66,88474
6.995,BARO0,48.63,88443
7.005,BARO0,48.64,88461
7.015,BARO0,48.64,88450
7.025,BARO0,48.64,88471
7.035,BARO0,48.64,88466
7.045,BARO0,48.62,88420
7.055,BARO0,48.63,88408
7.065,BARO0,48.66,88437
7.075,BARO0,48.64,88426
7.085,BARO0,48.64,88399
7.095,BARO0,48.65,88394
7.105,BARO0,48.65,88407
7.115,BARO0,48.65,88392
7.125,BARO0,48.66,88389
7.135,BARO0,48.63,88377
7.145,BARO0,48.65,88347
7.155,BARO0,48.65,88378
7.165,BARO0,48.65,88338
7.175,BARO0,48.64,88365
7.185,BARO0,48.64,88339
7.195,BARO0,48.64,88339
7.205,BARO0,48.64,88338
7.215,BARO0,48.65,88317
7.225,BARO0,48.64,88296
7.235,BARO0,48.64,88304
7.245,BARO0,48.65,88377
7.255,BARO0,48.64,88287
7.265,BARO0,48.66,88285
7.275,BARO0,48.63,88298
7.285,BARO0,48.62,88259
7.295,BARO0,48.62,88261
7.305,BARO0,48.62,88277
7.315,BARO0,48.64,88248
7.325,BARO0,48.64,88268
7.335,BARO0,48.64,88277
7.345,BARO0,48.64,88255
7.355,BARO0,48.64,88244
7.365,BARO0,48.64,88219
7.375,BARO0,48.64,88246
7.385,BARO0,48.63,88224
7.395,BARO0,48.65,88242
7.405,BARO0,48.64,88221
7.415,BARO0,48.64,88220
7.425,BARO0,48.63,88181
7.435,BARO0,48.64,88186
7.445,BARO0,48.64,88170
7.455,BARO0,48.63,88149
7.465,BARO0,48.64,88197
7.475,BARO0,48.65,88140
7.485,BARO0,48.65,88162
7.495,BARO0,48.65,88143
7.505,BARO0,48.65,88179
7.515,BARO0,48.65,88147
7.525,BARO0,48.64,88144
7.535,BARO0,48.64,88132
7.545,BARO0,48.64,88139
7.555,BARO0,48.65,88143
7.565,BARO0,48.64,88109
7.575,BARO0,48.63,88088
7.585,BARO0,48.64,88112
7.595,BARO0,48.67,88121
7.605,BARO0,48.64,88088
7.615,BARO0,48.65,88089
7.625,BARO0,48.65,88096
7.635,BARO0,48.63,88068
7.645,BARO0,48.64,88067
7.655,BARO0,48.63,88074
7.665,BARO0,48.64,88048
7.675,BARO0,48.63,88072
7.685,BARO0,48.65,88046
7.695,BARO0,48.66,88048
7.705,BARO0,48.66,88042
7.715,BARO0,48.66,88045
7.725,BARO0,48.66,88013
7.735,BARO0,48.64,88014
7.745,BARO0,48.64,88041
7.755,BARO0,48.65,88003
7.765,BARO0,48.65,87990
7.775,BARO0,48.66,88014
7.785,BARO0,48.65,88003
7.795,BARO0,48.67,87987
7.805,BARO0,48.66,87967
7.815,BARO0,48.63,87956
7.825,BARO0,48.65,87974
7.835,BARO0,48.65,87937
7.845,BARO0,48.65,87960
7.855,BARO0,48.65,87967
7.865,BARO0,48.66,87896
7.875,BARO0,48.65,87941
7.885,BARO0,48.66,87949
7.895,BARO0,48.64,87928
7.905,BARO0,48.64,87939
