TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS
9632737;45;53;50;5331;101;
9632937;45;53;50;5317;94;
9633137;45;53;50;5315;108;
9633337;45;53;50;5319;102;
9633538;45;53;50;5302;106;
9633737;45;53;50;5299;98;
9633936;45;53;50;5321;100;
9634136;45;53;50;5319;97;
9634335;45;53;50;5317;89;
9634535;45;53;50;5324;94;
9634735;45;53;50;5311;116;
9634935;45;53;50;5312;107;
9635135;45;53;50;5314;96;
9635334;45;53;50;5307;96;
9635534;45;53;50;5325;95;
9635734;45;53;50;5319;86;
9635934;45;53;50;5309;100;
9636134;45;53;50;5304;95;
9636333;45;53;50;5311;98;
9636535;45;53;50;5317;110;
9636734;45;53;50;5295;107;
9636934;45;53;50;5303;94;
9637135;45;53;50;5308;98;
9637334;45;53;50;5307;105;
9637534;45;53;50;5306;95;
9637734;45;53;50;5313;109;
9637934;45;53;50;5311;102;
9638135;45;53;50;5313;95;
9638336;45;53;50;5315;108;
9638535;45;53;50;5321;102;
9638735;45;53;50;5337;96;
9638936;45;53;50;5308;102;
9639135;45;53;50;5309;101;
9639336;45;53;50;5314;101;
9639535;45;53;50;5311;100;
9639735;45;53;50;5303;104;
9639935;45;53;50;5317;104;
9640135;45;53;50;5319;103;
9640335;45;53;50;5310;102;
9640534;45;53;50;5306;110;
9640736;45;53;50;5316;92;
9640937;45;53;50;5301;100;
9641137;45;53;50;5315;91;
9641337;45;53;50;5309;98;
9641537;45;53;50;5323;90;
9641737;45;53;49;5315;92;
9641938;45;53;49;5308;91;
9642137;45;53;49;5311;110;
9642337;45;53;49;5305;92;
9642538;45;53;49;5310;93;
9642739;45;53;49;5309;96;
9642940;45;53;49;5314;98;
9643140;45;53;49;5308;114;
9643339;45;53;49;5307;102;
9643539;45;53;49;5313;89;
9643739;45;53;49;5304;98;
9643939;45;53;49;5314;100;
9644139;45;53;49;5310;106;
9644339;45;53;49;5315;115;
9644538;45;53;49;5317;99;
9644738;45;53;49;5305;88;
9644938;45;53;49;5310;110;
9645138;45;53;49;5323;73;
9645338;45;53;49;5306;95;
9645538;45;53;49;5313;97;
9645740;45;53;49;5308;116;
9645940;45;53;49;5306;94;
9646139;45;53;49;5313;93;
9646339;45;53;49;5317;117;
9646539;45;53;49;5330;108;
9646739;45;53;49;5307;100;
9646939;45;53;49;5293;98;
9647138;45;53;49;5312;96;
9647339;45;53;49;5307;100;
9647538;45;53;49;5301;102;
9647738;45;53;49;5309;93;
9647940;45;53;49;5321;92;
9648140;45;53;49;5311;103;
9648341;45;53;49;5311;84;
9648541;45;53;49;5307;107;
9648741;45;53;49;5318;84;
9648942;45;53;49;5304;98;
9649141;45;53;50;5318;102;
9649342;45;53;50;5288;92;
9649542;45;53;50;5317;93;
9649744;45;53;50;5309;106;
9649944;45;53;50;5311;97;
9650143;45;53;50;5307;97;
9650343;45;53;50;5305;102;
9650543;45;53;50;5305;101;
9650742;45;53;50;5298;96;
9650942;45;53;50;5302;92;
9651143;45;53;50;5302;91;
9651343;45;53;50;5300;98;
9651543;45;53;50;5300;87;
9651743;45;53;50;5310;98;
9651943;45;53;50;5312;106;
9652142;45;53;50;5299;108;
9652343;45;53;50;5300;98;
9652542;45;53;50;5309;106;
9652742;45;53;50;5317;97;
9652942;45;53;50;5333;98;
9653142;45;53;50;5299;104;
9653341;45;53;50;5304;106;
9653540;45;53;50;5313;92;
9653741;45;53;50;5308;98;
9653940;45;53;50;5316;104;
9654140;45;53;50;5307;94;
9654340;45;53;50;5292;100;
9654540;45;53;50;5325;95;
9654741;45;53;50;5308;92;
9654941;45;53;50;5321;63;
9655141;45;53;50;5304;102;
9655340;45;53;50;5310;97;
9655540;45;53;50;5314;94;
9655740;45;53;50;5307;94;
9655942;45;53;50;5297;118;
9656142;45;53;50;5321;104;
9656342;45;53;50;5317;97;
9656542;45;53;50;5311;105;
9656742;45;53;50;5299;100;
9656941;45;53;50;5311;81;
9657141;45;53;50;5321;107;
9657340;45;53;50;5309;110;
9657542;45;53;50;5319;110;
9657742;45;53;50;5288;108;
9657942;45;53;50;5309;86;
9658142;45;53;50;5319;98;
9658341;45;53;50;5327;100;
9658543;45;53;50;5310;114;
9658744;45;53;50;5328;90;
9658944;45;53;50;5309;102;
9659147;45;53;50;5311;110;
9659347;45;53;50;5308;89;
9659547;45;53;50;5314;89;
9659747;45;53;50;5323;107;
9659947;45;53;50;5300;96;
9660147;45;53;50;5303;94;
9660347;45;53;50;5288;106;
9660547;45;53;50;5307;99;
9660749;45;53;50;5295;100;
9660948;45;53;50;5311;91;
9661148;45;53;50;5303;89;
9661349;45;53;50;5312;100;
9661548;45;53;50;5303;96;
9661750;45;53;50;5309;90;
9661951;45;53;50;5303;89;
9662150;45;53;50;5308;101;
9662350;45;53;50;5315;83;
9662550;45;53;50;5323;100;
9662750;45;53;50;5308;99;
9662950;45;53;50;5317;92;
9663151;45;53;50;5324;90;
9663352;45;53;50;5303;100;
9663553;45;53;50;5297;96;
9663753;45;53;50;5299;106;
9663952;45;53;50;5321;89;
9664152;45;53;50;5302;92;
9664352;45;53;50;5293;89;
9664553;45;53;50;5306;99;
9664753;45;53;50;5302;96;
9664954;45;53;50;5328;94;
9665154;45;53;50;5300;101;
9665353;45;53;50;5318;104;
9665553;45;53;50;5294;94;
9665752;45;53;50;5307;95;
9665952;45;53;50;5301;99;
9666151;45;53;50;5313;110;
9666351;45;53;50;5307;86;
9666551;45;53;50;5312;102;
9666751;45;53;50;5319;96;
9666951;45;53;50;5296;100;
9667151;45;53;50;5295;99;
9667353;45;53;50;5321;92;
9667552;45;53;50;5311;100;
9667752;45;53;50;5299;91;
9667953;45;53;50;5323;100;
9668153;45;53;50;5307;91;
9668352;45;53;50;5315;99;
9668552;45;53;50;5332;91;
9668752;45;53;50;5315;100;
9668952;45;53;50;5298;97;
9669151;45;53;50;5322;108;
9669351;45;53;50;5312;91;
9669550;45;53;50;5310;98;
9669750;45;53;50;5299;90;
9669950;45;53;50;5308;103;
9670149;45;53;50;5308;96;
9670349;45;53;50;5314;102;
9670548;45;53;50;5313;94;
9670748;45;53;50;5297;98;
9670950;45;53;50;5307;100;
9671150;45;53;50;5315;98;
9671350;45;53;50;5317;102;
9671549;45;53;50;5313;74;
9671749;45;53;50;5304;120;
9671951;45;53;50;5319;94;
9672151;45;53;50;5311;95;
9672350;45;53;50;5301;104;
9672550;45;53;50;5310;91;
9672751;45;53;50;5321;97;
9672951;45;53;50;5315;85;
9673151;45;53;50;5303;100;
9673351;45;53;50;5324;95;
9673550;45;53;50;5315;112;
9673761;45;53;50;5318;99;
9673962;45;53;50;5290;104;
9674161;45;53;50;5310;108;
9674361;45;53;50;5318;93;
