Time,ADC_CH0,ADC_CH1,ADC_CH2,ADC_CH3,PWM_Val
32.51,2874,2875,2,742,239
32.57,2874,2875,2,740,284
32.64,2874,2875,2,743,398
32.71,2874,2876,2,741,307
32.78,2875,2875,2,742,216
32.85,2874,2875,3,747,330
32.91,2874,2875,2,739,375
32.98,2875,2875,3,749,261
33.05,2874,2876,2,740,261
33.12,2874,2875,2,741,375
33.18,2875,2875,2,743,330
33.25,2875,2875,2,739,216
33.34,2874,2875,2,742,307
33.41,2875,2875,2,742,398
33.48,2875,2875,2,743,284
33.55,2875,2875,3,747,239
33.61,2875,2876,2,740,353
33.69,2874,2875,2,740,353
33.76,2875,2876,3,748,239
33.83,2874,2875,2,741,284
33.90,2874,2875,2,741,398
33.98,2875,2875,3,747,307
34.06,2875,2875,2,741,216
34.12,2875,2875,2,743,330
34.19,2874,2876,2,740,375
34.26,2875,2876,2,743,261
34.33,2875,2875,2,741,261
34.40,2875,2875,2,740,375
34.47,2874,2875,2,743,330
34.53,2875,2875,2,740,216
34.60,2875,2875,2,743,307
34.67,2874,2875,2,740,398
34.74,2874,2876,3,748,284
34.81,2874,2875,2,741,239
34.88,2875,2875,2,743,353
34.95,2875,2876,2,740,353
35.02,2875,2875,2,743,239
35.09,2874,2876,2,742,284
35.16,2875,2876,2,743,398
35.23,2875,2875,3,747,307
35.30,2875,2875,2,742,216
35.37,2875,2875,2,743,330
35.43,2874,2875,2,740,375
35.50,2875,2875,2,743,261
35.57,2875,2875,2,740,261
35.64,2874,2875,2,741,375
35.70,2875,2875,3,748,330
35.77,2874,2875,2,740,216
35.84,2874,2875,2,743,307
35.92,2874,2875,2,741,398
35.99,2875,2876,2,739,284
36.08,2875,2875,2,742,239
36.16,2875,2875,2,741,353
36.24,2875,2876,2,742,353
36.32,2875,2875,2,743,239
36.40,2874,2875,2,741,284
36.47,2874,2875,2,742,398
36.53,2875,2875,2,740,307
36.60,2874,2875,2,743,216
36.67,2875,2875,2,742,330
36.74,2875,2875,2,740,375
36.81,2875,2876,3,747,261
36.88,2874,2876,2,742,261
36.95,2875,2876,2,742,375
37.02,2874,2875,2,741,330
37.08,2875,2876,2,744,216
37.15,2875,2876,2,740,307
37.22,2874,2876,2,741,398
37.29,2875,2875,2,742,284
37.36,2874,2875,2,740,239
37.42,2874,2876,2,743,353
37.49,2875,2875,2,740,353
37.56,2874,2875,2,743,239
37.64,2875,2875,3,745,284
37.71,2875,2875,2,740,398
37.78,2874,2876,2,743,307
37.85,2875,2875,2,742,216
37.91,2875,2876,2,740,330
37.99,2875,2875,2,740,375
38.06,2875,2875,3,746,261
38.12,2875,2876,3,748,261
38.21,2875,2875,2,745,375
38.29,2875,2875,2,743,330
38.36,2875,2875,2,743,216
38.43,2875,2875,2,740,307
38.50,2874,2875,2,743,398
38.57,2874,2875,3,747,284
38.64,2875,2876,2,740,239
38.70,2875,2876,2,743,353
38.77,2875,2876,2,739,353
38.84,2875,2875,2,743,239
38.91,2875,2875,2,743,284
38.98,2874,2876,2,742,398
39.05,2875,2876,2,743,307
39.11,2875,2875,2,739,216
39.18,2875,2875,2,743,330
39.25,2875,2875,2,742,375
39.32,2875,2876,2,742,261
39.39,2875,2876,2,743,261
39.45,2875,2876,3,744,375
39.52,2874,2876,2,743,330
39.59,2875,2875,2,740,216
39.66,2875,2876,2,741,307
39.72,2875,2876,2,743,398
39.81,2874,2876,2,742,284
39.87,2875,2875,2,740,239
39.94,2875,2876,2,743,353
40.01,2875,2875,2,740,353
40.09,2875,2876,3,748,239
40.15,2875,2875,2,740,284
40.22,2875,2875,2,742,398
40.29,2875,2875,2,740,307
40.40,2874,2876,2,741,216
40.47,2875,2876,2,926,330
40.54,2875,2876,2,742,375
40.61,2875,2876,2,743,261
40.67,2875,2875,3,744,261
40.74,2875,2875,2,743,375
40.81,2875,2876,2,741,330
40.88,2875,2875,2,740,216
40.94,2875,2876,2,744,307
41.01,2875,2876,2,739,398
41.09,2875,2875,2,742,284
41.15,2875,2876,2,740,239
41.22,2874,2875,2,743,353
41.29,2875,2876,3,744,353
41.38,2875,2876,2,740,239
41.44,2875,2876,2,744,284
41.51,2875,2875,2,739,398
41.58,2875,2875,2,743,307
41.65,2875,2876,3,747,216
41.71,2875,2875,2,739,330
41.78,2875,2876,2,744,375
41.85,2875,2876,2,739,261
41.92,2875,2876,2,742,261
41.99,2875,2876,2,741,375
42.06,2875,2875,2,740,330
42.12,2875,2875,2,744,216
42.20,2875,2876,2,740,307
42.27,2875,2876,2,743,398
42.33,2875,2876,2,739,284
42.40,2875,2876,2,743,239
42.48,2875,2876,3,747,353
42.56,2875,2876,2,744,353
42.63,2875,2876,2,740,239
42.70,2875,2876,2,740,284
42.77,2875,2875,2,743,398
42.84,2875,2876,3,744,307
42.90,2875,2876,2,743,216
42.97,2875,2876,2,740,330
43.04,2875,2876,2,742,375
43.11,2875,2876,2,743,261
43.17,2875,2876,2,739,261
43.25,2875,2876,3,747,375
43.32,2875,2876,2,742,330
43.39,2875,2876,2,743,216
43.45,2875,2876,2,739,307
43.52,2875,2876,3,749,398
43.59,2875,2876,2,741,284
43.66,2875,2876,2,740,239
43.72,2875,2876,2,743,353
43.79,2875,2876,2,739,353
43.86,2875,2876,2,743,239
43.93,2875,2876,2,742,284
44.00,2875,2876,2,742,398
44.08,2875,2876,2,739,307
44.15,2875,2876,2,742,216
44.22,2875,2876,2,740,330
44.30,2875,2876,2,740,375
44.37,2875,2876,2,742,261
44.44,2875,2876,2,740,261
44.51,2875,2876,2,743,375
44.57,2875,2876,2,739,330
44.66,2875,2876,3,748,216
44.73,2875,2876,2,740,307
44.80,2875,2876,2,743,398
44.87,2875,2876,2,742,284
44.94,2875,2876,2,740,239
45.01,2875,2876,2,743,353
45.07,2875,2876,2,740,353
45.14,2875,2876,2,742,239
45.21,2875,2876,2,743,284
45.28,2875,2876,2,741,398
45.35,2875,2876,2,740,307
45.42,2875,2876,2,741,216
