timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 05:19:37.626634,,2,23.0,24.7,27.0,1.29,55.57,101.87,16.2,,,22.5,23.0,22.2,-23.91,0.78,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.732984,,2,23.0,24.7,27.0,1.08,55.74,100.53,16.2,,,22.5,23.0,22.2,-23.91,1.39,40.53,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.837044,,2,23.0,24.7,27.0,1.08,55.9,102.95,16.2,,,22.5,23.0,22.2,-23.91,0.85,40.16,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:37.941479,,2,23.0,24.7,27.0,0.98,55.43,100.67,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.63,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.044789,,2,23.0,24.7,27.0,1.29,55.63,99.99,16.2,,,22.5,23.0,22.2,-23.91,0.75,40.12,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.148351,,2,23.0,24.7,27.0,1.22,55.94,99.99,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.19,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.252121,,2,23.0,24.7,27.0,1.29,55.87,101.34,16.2,,,22.5,23.0,22.2,-23.91,0.82,40.53,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.367619,,2,23.0,24.7,27.0,1.22,55.9,101.07,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.16,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.471672,,2,23.0,24.7,27.0,1.32,55.8,101.61,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.575854,,2,23.0,24.7,27.0,1.05,55.74,99.59,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.66,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
